,TOK,SHOT,GROUP,CONFIG,IP,BT,NEL,RGEO,AMIN,KAREA,EPSILON,DELTA,DELTAU,DELTAL,MEFF,POHM,PNBI,PECRH,PICRH,PLTH,PRAD,TAUTH,TAU98Y2,HIPB98Y2,TAU20,H20,IPN,qCYL,GWF,HIGHZ,COAT,PFIN,PRFN,PLH,SELDB5,STD3,DB2P8,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE
8714,JET,46822,MODERN,SN(L),3.2809999999999997,3.511,4.931,2.907,0.9427,1.537615102,0.3242862057103543,0.2354,0.2282,0.2426,1.967,0.7989999999999999,11.99,0.0,0.0,13.129999999999999,3.5759999999999996,0.457,0.4516756070342835,1.011788091,0.42621573435304233,1.0722269573029384,0.9912926676942552,2.515036091361019,0.41959051186799856,0,1,1.3174923857053595,0.0,9.100621855647985,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8715,JET,46914,MODERN,SN(L),2.488,2.467,5.946,2.915,0.948,1.548978929,0.32521440823327613,0.2518,0.2445,0.2591,1.981,0.3528,12.29,0.0,0.0,12.11,3.6119999999999997,0.4324,0.38353523726765865,1.127406188,0.33799563744179756,1.2793064528072755,1.0638316067448976,2.3676221996351443,0.6747471769761404,0,0,1.5301808264115115,0.0,8.031730490847785,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8716,JET,46914,MODERN,SN(L),2.488,2.479,7.834,2.903,0.9383,1.513970501,0.32321736135032725,0.2146,0.1767,0.2526,1.976,0.5061,11.77,0.0,0.0,12.34,3.319,0.4082,0.41167180431157135,0.991566572,0.3433711799244207,1.1888009939851352,1.0696264480100282,2.287441337140839,0.8708964024355675,0,0,1.190523877156151,0.0,9.886403982182566,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8718,JET,46916,MODERN,SN(L),2.489,2.47,5.237,2.913,0.9474,1.542899713,0.3252317198764161,0.2441,0.2321,0.2561,1.962,0.3475,11.51,0.0,0.0,11.16,2.501,0.4699,0.3830173285955851,1.226837443,0.3436101714593366,1.3675380970368298,1.0636397590165796,2.3588810168198915,0.5932999486794445,0,0,1.5680529356592785,0.0,7.3403134156058885,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8719,JET,46916,MODERN,SN(L),2.476,2.485,4.904,2.893,0.9475,1.501743208,0.3275146906325614,0.189,0.1745,0.2035,1.962,0.7231,9.062,0.0,0.0,9.770999999999999,3.429,0.4107,0.39476518803876887,1.040365292,0.3513295514088594,1.1689879156281058,1.0515865642403233,2.3385757240678644,0.5586092605960837,0,0,1.3023838348697538,0.0,6.958010194365054,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8721,JET,46917,MODERN,SN(L),2.473,2.486,3.729,2.893,0.9462,1.4966797,0.3270653301071552,0.2035,0.1671,0.2399,1.978,1.081,10.69,0.0,0.0,11.44,4.3549999999999995,0.2702,0.3155199138200624,0.856364331,0.29649633727710767,0.9113097398821122,1.0513323990801668,2.3280555254145248,0.4241153851190305,0,0,1.920841903536388,0.0,5.565268011031544,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8722,JET,46922,MODERN,SN(L),2.488,2.463,5.036,2.918,0.9431,1.554723742,0.32320082248115145,0.2493,0.2369,0.2618,1.979,0.3722,12.02,0.0,0.0,12.25,3.303,0.4371,0.35576591258054263,1.228616864,0.32270357299415126,1.3544938345257245,1.0710955607092703,2.3456730219880213,0.5655886788915919,0,0,1.711437947830546,0.0,7.023333808413446,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8723,JET,46922,MODERN,SN(L),2.485,2.47,5.617,2.906,0.9358,1.515920562,0.32202339986235373,0.1964,0.1732,0.2196,1.978,0.5961,12.209999999999999,0.0,0.0,12.649999999999999,2.981,0.3876,0.35287950663056866,1.098391923,0.31001841107269845,1.2502483277004761,1.075093903071091,2.270322117454191,0.6218619512257554,0,0,1.6106453141654327,0.0,7.58081241885753,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8724,JET,46929,MODERN,SN(L),2.472,2.465,4.7459999999999996,2.916,0.9446,1.547542854,0.3239368998628258,0.2435,0.2308,0.2562,1.98,0.5792999999999999,11.44,0.0,0.0,12.33,2.4659999999999997,0.4022,0.34242062368750004,1.174578785,0.313042973762701,1.2848076261404402,1.0616554696086091,2.360964780384175,0.538176862699481,0,0,1.70450211267336,0.0,6.711637325023538,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8725,JET,46929,MODERN,SN(L),2.481,2.47,5.591,2.905,0.9364,1.512113085,0.32234079173838215,0.1926,0.1666,0.2186,1.983,0.6083,11.75,0.0,0.0,12.09,3.222,0.3831,0.3622664256106063,1.057508985,0.31778662338536784,1.2055258837481937,1.0726756100977641,2.271962392117987,0.6207767040309577,0,0,1.5590939552467173,0.0,7.536428423994905,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
